airline,airline_sentiment,text
Southwest,negative,Never flying with you again. Absolutely terrible. @Southwest #awful
American,positive,Thank you for the amazing service. @American #amazing
United,negative,"Food was awful, could not eat anything. @United #awful"
Delta,negative,The staff was incredibly rude and unhelpful. @Delta #awful
Southwest,negative,"Food was awful, could not eat anything. @Southwest #awful"
US Airways,positive,Smooth landing and great pilot. @USAirways #amazing
US Airways,positive,Great customer service at the gate. @USAirways #amazing
American,positive,Best flight ever. Will fly with you again. @American #amazing
Delta,neutral,Boarding was standard. @Delta
American,negative,Seats are too small and uncomfortable. @American #awful
US Airways,neutral,Just another flight. @USAirways
US Airways,negative,"Food was awful, could not eat anything. @USAirways #awful"
United,positive,Love the in-flight entertainment. @United #amazing
American,negative,Why is my flight always delayed without any notice? @American #awful
Southwest,neutral,Boarding was standard. @Southwest
American,positive,Thank you for the amazing service. @American #amazing
US Airways,negative,Worst experience of my life. Flight delayed by 4 hours. @USAirways #awful
American,positive,Super fast and efficient boarding process. Loved it! @American #amazing
American,negative,Worst experience of my life. Flight delayed by 4 hours. @American #awful
Southwest,neutral,Boarding was standard. @Southwest
US Airways,negative,Terrible customer service on the phone. @USAirways #awful
Southwest,neutral,"Flight was okay, nothing special. @Southwest"
American,neutral,Just another flight. @American
Southwest,positive,I had a wonderful flight experience today! The crew was so polite. @Southwest #amazing
Southwest,neutral,Got from A to B safely. @Southwest
US Airways,negative,Lost my luggage again... extremely disappointed. @USAirways #awful
Southwest,positive,The food was surprisingly good. @Southwest #amazing
American,positive,Thank you for the amazing service. @American #amazing
Southwest,positive,Very comfortable seats and plenty of legroom. @Southwest #amazing
Delta,negative,"Horrible boarding process, chaotic and stressful. @Delta #awful"
American,neutral,Got from A to B safely. @American
US Airways,neutral,"Flight was okay, nothing special. @USAirways"
Southwest,positive,Super fast and efficient boarding process. Loved it! @Southwest #amazing
US Airways,positive,Super fast and efficient boarding process. Loved it! @USAirways #amazing
Southwest,negative,The staff was incredibly rude and unhelpful. @Southwest #awful
Delta,positive,Thank you for the amazing service. @Delta #amazing
Delta,positive,Love the in-flight entertainment. @Delta #amazing
Southwest,positive,Love the in-flight entertainment. @Southwest #amazing
United,positive,The food was surprisingly good. @United #amazing
American,neutral,Got from A to B safely. @American
Virgin America,negative,Never flying with you again. Absolutely terrible. @VirginAmerica #awful
US Airways,neutral,Arrived on time. Standard experience. @USAirways
Southwest,negative,Worst experience of my life. Flight delayed by 4 hours. @Southwest #awful
Delta,neutral,Just another flight. @Delta
Southwest,positive,Great customer service at the gate. @Southwest #amazing
Virgin America,neutral,Boarding was standard. @VirginAmerica
Virgin America,neutral,"Flight was okay, nothing special. @VirginAmerica"
Delta,positive,Best flight ever. Will fly with you again. @Delta #amazing
Virgin America,positive,Smooth landing and great pilot. @VirginAmerica #amazing
Delta,neutral,"Flight was okay, nothing special. @Delta"
Delta,positive,Great customer service at the gate. @Delta #amazing
US Airways,negative,Seats are too small and uncomfortable. @USAirways #awful
United,positive,Thank you for the amazing service. @United #amazing
Delta,positive,I had a wonderful flight experience today! The crew was so polite. @Delta #amazing
Delta,negative,Worst experience of my life. Flight delayed by 4 hours. @Delta #awful
Virgin America,negative,Lost my luggage again... extremely disappointed. @VirginAmerica #awful
Delta,neutral,Just another flight. @Delta
Southwest,negative,Why is my flight always delayed without any notice? @Southwest #awful
Southwest,negative,Why is my flight always delayed without any notice? @Southwest #awful
Delta,positive,Best flight ever. Will fly with you again. @Delta #amazing
Delta,neutral,"Food was okay, pretty standard for airline food. @Delta"
US Airways,neutral,Arrived on time. Standard experience. @USAirways
Virgin America,positive,Great customer service at the gate. @VirginAmerica #amazing
Delta,neutral,Just another flight. @Delta
US Airways,negative,Seats are too small and uncomfortable. @USAirways #awful
Southwest,positive,Smooth landing and great pilot. @Southwest #amazing
American,negative,"Food was awful, could not eat anything. @American #awful"
Virgin America,positive,Thank you for the amazing service. @VirginAmerica #amazing
Delta,positive,Thank you for the amazing service. @Delta #amazing
United,negative,"Food was awful, could not eat anything. @United #awful"
US Airways,positive,Very comfortable seats and plenty of legroom. @USAirways #amazing
Delta,positive,Best flight ever. Will fly with you again. @Delta #amazing
American,neutral,Got from A to B safely. @American
Virgin America,neutral,Arrived on time. Standard experience. @VirginAmerica
United,positive,Super fast and efficient boarding process. Loved it! @United #amazing
Southwest,neutral,"Food was okay, pretty standard for airline food. @Southwest"
Delta,neutral,Got from A to B safely. @Delta
Delta,positive,Very comfortable seats and plenty of legroom. @Delta #amazing
Delta,neutral,Got from A to B safely. @Delta
Delta,neutral,Got from A to B safely. @Delta
Southwest,negative,Never flying with you again. Absolutely terrible. @Southwest #awful
Virgin America,negative,Worst experience of my life. Flight delayed by 4 hours. @VirginAmerica #awful
Delta,neutral,Arrived on time. Standard experience. @Delta
Delta,neutral,Got from A to B safely. @Delta
Southwest,neutral,Just another flight. @Southwest
US Airways,neutral,Arrived on time. Standard experience. @USAirways
US Airways,positive,Love the in-flight entertainment. @USAirways #amazing
American,neutral,"Flight was okay, nothing special. @American"
Delta,neutral,"Food was okay, pretty standard for airline food. @Delta"
United,negative,Seats are too small and uncomfortable. @United #awful
US Airways,positive,Very comfortable seats and plenty of legroom. @USAirways #amazing
Delta,negative,Why is my flight always delayed without any notice? @Delta #awful
United,positive,Thank you for the amazing service. @United #amazing
Southwest,negative,"Horrible boarding process, chaotic and stressful. @Southwest #awful"
US Airways,negative,Worst experience of my life. Flight delayed by 4 hours. @USAirways #awful
Delta,negative,Lost my luggage again... extremely disappointed. @Delta #awful
American,neutral,"Food was okay, pretty standard for airline food. @American"
American,negative,Why is my flight always delayed without any notice? @American #awful
Virgin America,neutral,Arrived on time. Standard experience. @VirginAmerica
Delta,neutral,Arrived on time. Standard experience. @Delta
United,neutral,Just another flight. @United
Southwest,negative,"Horrible boarding process, chaotic and stressful. @Southwest #awful"
Southwest,positive,Super fast and efficient boarding process. Loved it! @Southwest #amazing
Delta,negative,The staff was incredibly rude and unhelpful. @Delta #awful
Southwest,positive,Best flight ever. Will fly with you again. @Southwest #amazing
United,negative,Why is my flight always delayed without any notice? @United #awful
American,neutral,Got from A to B safely. @American
Virgin America,positive,Best flight ever. Will fly with you again. @VirginAmerica #amazing
Southwest,negative,Terrible customer service on the phone. @Southwest #awful
US Airways,positive,I had a wonderful flight experience today! The crew was so polite. @USAirways #amazing
Delta,negative,"Horrible boarding process, chaotic and stressful. @Delta #awful"
Southwest,positive,Very comfortable seats and plenty of legroom. @Southwest #amazing
Southwest,neutral,Just another flight. @Southwest
Southwest,negative,Terrible customer service on the phone. @Southwest #awful
Delta,neutral,"Food was okay, pretty standard for airline food. @Delta"
Delta,negative,Seats are too small and uncomfortable. @Delta #awful
American,neutral,Just another flight. @American
American,neutral,Arrived on time. Standard experience. @American
US Airways,neutral,Arrived on time. Standard experience. @USAirways
Delta,positive,I had a wonderful flight experience today! The crew was so polite. @Delta #amazing
US Airways,negative,Why is my flight always delayed without any notice? @USAirways #awful
Virgin America,neutral,Arrived on time. Standard experience. @VirginAmerica
US Airways,neutral,Got from A to B safely. @USAirways
Southwest,neutral,Got from A to B safely. @Southwest
Virgin America,negative,Why is my flight always delayed without any notice? @VirginAmerica #awful
Southwest,neutral,Arrived on time. Standard experience. @Southwest
Delta,neutral,"Flight was okay, nothing special. @Delta"
Virgin America,neutral,"Flight was okay, nothing special. @VirginAmerica"
Virgin America,negative,Terrible customer service on the phone. @VirginAmerica #awful
United,neutral,"Food was okay, pretty standard for airline food. @United"
Delta,positive,Smooth landing and great pilot. @Delta #amazing
Delta,neutral,Average service. Could be better. @Delta
Virgin America,positive,Smooth landing and great pilot. @VirginAmerica #amazing
Delta,neutral,"Food was okay, pretty standard for airline food. @Delta"
Virgin America,positive,Thank you for the amazing service. @VirginAmerica #amazing
Virgin America,neutral,Got from A to B safely. @VirginAmerica
Southwest,negative,The staff was incredibly rude and unhelpful. @Southwest #awful
American,negative,Terrible customer service on the phone. @American #awful
Virgin America,negative,Never flying with you again. Absolutely terrible. @VirginAmerica #awful
Delta,positive,Very comfortable seats and plenty of legroom. @Delta #amazing
US Airways,neutral,Just another flight. @USAirways
United,negative,Seats are too small and uncomfortable. @United #awful
United,negative,"Food was awful, could not eat anything. @United #awful"
Virgin America,positive,Love the in-flight entertainment. @VirginAmerica #amazing
US Airways,negative,Seats are too small and uncomfortable. @USAirways #awful
US Airways,neutral,Average service. Could be better. @USAirways
US Airways,positive,Best flight ever. Will fly with you again. @USAirways #amazing
US Airways,negative,Never flying with you again. Absolutely terrible. @USAirways #awful
Virgin America,negative,Why is my flight always delayed without any notice? @VirginAmerica #awful
Southwest,positive,Great customer service at the gate. @Southwest #amazing
Delta,positive,I had a wonderful flight experience today! The crew was so polite. @Delta #amazing
US Airways,negative,"Horrible boarding process, chaotic and stressful. @USAirways #awful"
United,neutral,Arrived on time. Standard experience. @United
Southwest,neutral,"Food was okay, pretty standard for airline food. @Southwest"
American,positive,I had a wonderful flight experience today! The crew was so polite. @American #amazing
Delta,neutral,Average service. Could be better. @Delta
United,positive,Best flight ever. Will fly with you again. @United #amazing
American,positive,Smooth landing and great pilot. @American #amazing
Southwest,neutral,"Food was okay, pretty standard for airline food. @Southwest"
Southwest,neutral,Got from A to B safely. @Southwest
US Airways,positive,The food was surprisingly good. @USAirways #amazing
American,neutral,"Food was okay, pretty standard for airline food. @American"
United,negative,Never flying with you again. Absolutely terrible. @United #awful
Virgin America,neutral,"Flight was okay, nothing special. @VirginAmerica"
American,positive,Love the in-flight entertainment. @American #amazing
Southwest,positive,Great customer service at the gate. @Southwest #amazing
Southwest,positive,Thank you for the amazing service. @Southwest #amazing
Delta,neutral,Just another flight. @Delta
Southwest,neutral,"Food was okay, pretty standard for airline food. @Southwest"
American,negative,Terrible customer service on the phone. @American #awful
Virgin America,negative,Worst experience of my life. Flight delayed by 4 hours. @VirginAmerica #awful
Delta,positive,Super fast and efficient boarding process. Loved it! @Delta #amazing
Delta,negative,Terrible customer service on the phone. @Delta #awful
Virgin America,neutral,Arrived on time. Standard experience. @VirginAmerica
Virgin America,neutral,Arrived on time. Standard experience. @VirginAmerica
Virgin America,negative,Worst experience of my life. Flight delayed by 4 hours. @VirginAmerica #awful
US Airways,positive,I had a wonderful flight experience today! The crew was so polite. @USAirways #amazing
US Airways,negative,Never flying with you again. Absolutely terrible. @USAirways #awful
American,negative,Lost my luggage again... extremely disappointed. @American #awful
American,negative,"Food was awful, could not eat anything. @American #awful"
Virgin America,positive,Very comfortable seats and plenty of legroom. @VirginAmerica #amazing
Southwest,neutral,Got from A to B safely. @Southwest
American,neutral,Arrived on time. Standard experience. @American
Delta,positive,The food was surprisingly good. @Delta #amazing
Southwest,neutral,"Food was okay, pretty standard for airline food. @Southwest"
US Airways,positive,Very comfortable seats and plenty of legroom. @USAirways #amazing
Virgin America,negative,Terrible customer service on the phone. @VirginAmerica #awful
Southwest,neutral,Got from A to B safely. @Southwest
Virgin America,neutral,Got from A to B safely. @VirginAmerica
Virgin America,negative,"Horrible boarding process, chaotic and stressful. @VirginAmerica #awful"
Virgin America,negative,Lost my luggage again... extremely disappointed. @VirginAmerica #awful
Virgin America,positive,Smooth landing and great pilot. @VirginAmerica #amazing
Delta,positive,Smooth landing and great pilot. @Delta #amazing
United,negative,Why is my flight always delayed without any notice? @United #awful
American,negative,"Horrible boarding process, chaotic and stressful. @American #awful"
United,positive,Thank you for the amazing service. @United #amazing
American,negative,"Food was awful, could not eat anything. @American #awful"
United,positive,Love the in-flight entertainment. @United #amazing
Delta,neutral,Got from A to B safely. @Delta
US Airways,negative,"Horrible boarding process, chaotic and stressful. @USAirways #awful"
American,positive,Love the in-flight entertainment. @American #amazing
Southwest,negative,The staff was incredibly rude and unhelpful. @Southwest #awful
Delta,neutral,Average service. Could be better. @Delta
American,negative,Never flying with you again. Absolutely terrible. @American #awful
US Airways,negative,Terrible customer service on the phone. @USAirways #awful
US Airways,positive,Very comfortable seats and plenty of legroom. @USAirways #amazing
US Airways,neutral,Got from A to B safely. @USAirways
United,neutral,"Food was okay, pretty standard for airline food. @United"
US Airways,positive,Best flight ever. Will fly with you again. @USAirways #amazing
American,negative,Lost my luggage again... extremely disappointed. @American #awful
Delta,negative,Seats are too small and uncomfortable. @Delta #awful
Delta,neutral,Average service. Could be better. @Delta
Virgin America,neutral,"Food was okay, pretty standard for airline food. @VirginAmerica"
US Airways,positive,The food was surprisingly good. @USAirways #amazing
Southwest,negative,Terrible customer service on the phone. @Southwest #awful
US Airways,neutral,Just another flight. @USAirways
Virgin America,neutral,"Food was okay, pretty standard for airline food. @VirginAmerica"
Delta,positive,Best flight ever. Will fly with you again. @Delta #amazing
United,neutral,Arrived on time. Standard experience. @United
Virgin America,neutral,Just another flight. @VirginAmerica
United,neutral,"Flight was okay, nothing special. @United"
American,neutral,Got from A to B safely. @American
Southwest,positive,Great customer service at the gate. @Southwest #amazing
Delta,neutral,"Food was okay, pretty standard for airline food. @Delta"
United,negative,Seats are too small and uncomfortable. @United #awful
American,negative,Terrible customer service on the phone. @American #awful
American,neutral,"Food was okay, pretty standard for airline food. @American"
United,negative,The staff was incredibly rude and unhelpful. @United #awful
Southwest,positive,Super fast and efficient boarding process. Loved it! @Southwest #amazing
American,negative,Why is my flight always delayed without any notice? @American #awful
US Airways,negative,Why is my flight always delayed without any notice? @USAirways #awful
Southwest,positive,Very comfortable seats and plenty of legroom. @Southwest #amazing
Virgin America,positive,The food was surprisingly good. @VirginAmerica #amazing
Southwest,positive,Thank you for the amazing service. @Southwest #amazing
US Airways,neutral,Average service. Could be better. @USAirways
Delta,negative,"Horrible boarding process, chaotic and stressful. @Delta #awful"
United,positive,Love the in-flight entertainment. @United #amazing
US Airways,positive,Thank you for the amazing service. @USAirways #amazing
United,positive,Super fast and efficient boarding process. Loved it! @United #amazing
Southwest,neutral,Boarding was standard. @Southwest
Delta,negative,Why is my flight always delayed without any notice? @Delta #awful
US Airways,neutral,"Food was okay, pretty standard for airline food. @USAirways"
US Airways,neutral,Average service. Could be better. @USAirways
Virgin America,negative,"Food was awful, could not eat anything. @VirginAmerica #awful"
Delta,neutral,"Food was okay, pretty standard for airline food. @Delta"
Southwest,neutral,"Flight was okay, nothing special. @Southwest"
American,positive,Best flight ever. Will fly with you again. @American #amazing
US Airways,neutral,Average service. Could be better. @USAirways
Delta,neutral,Average service. Could be better. @Delta
US Airways,positive,Smooth landing and great pilot. @USAirways #amazing
US Airways,negative,"Horrible boarding process, chaotic and stressful. @USAirways #awful"
US Airways,positive,Smooth landing and great pilot. @USAirways #amazing
Virgin America,negative,"Food was awful, could not eat anything. @VirginAmerica #awful"
US Airways,positive,Great customer service at the gate. @USAirways #amazing
Delta,neutral,Just another flight. @Delta
Delta,positive,Smooth landing and great pilot. @Delta #amazing
United,negative,Why is my flight always delayed without any notice? @United #awful
US Airways,negative,Seats are too small and uncomfortable. @USAirways #awful
American,neutral,"Food was okay, pretty standard for airline food. @American"
Southwest,negative,"Food was awful, could not eat anything. @Southwest #awful"
Virgin America,neutral,Boarding was standard. @VirginAmerica
Southwest,neutral,Average service. Could be better. @Southwest
American,negative,"Food was awful, could not eat anything. @American #awful"
American,negative,Never flying with you again. Absolutely terrible. @American #awful
American,positive,I had a wonderful flight experience today! The crew was so polite. @American #amazing
Delta,positive,Smooth landing and great pilot. @Delta #amazing
Virgin America,positive,Love the in-flight entertainment. @VirginAmerica #amazing
Virgin America,negative,The staff was incredibly rude and unhelpful. @VirginAmerica #awful
American,positive,The food was surprisingly good. @American #amazing
American,negative,Terrible customer service on the phone. @American #awful
American,negative,Lost my luggage again... extremely disappointed. @American #awful
American,neutral,Boarding was standard. @American
United,neutral,Arrived on time. Standard experience. @United
Southwest,neutral,Arrived on time. Standard experience. @Southwest
Virgin America,neutral,Just another flight. @VirginAmerica
Virgin America,negative,Never flying with you again. Absolutely terrible. @VirginAmerica #awful
United,neutral,"Flight was okay, nothing special. @United"
United,negative,Lost my luggage again... extremely disappointed. @United #awful
Virgin America,positive,Smooth landing and great pilot. @VirginAmerica #amazing
Virgin America,negative,Worst experience of my life. Flight delayed by 4 hours. @VirginAmerica #awful
United,positive,The food was surprisingly good. @United #amazing
American,neutral,Average service. Could be better. @American
US Airways,negative,"Horrible boarding process, chaotic and stressful. @USAirways #awful"
Southwest,negative,"Horrible boarding process, chaotic and stressful. @Southwest #awful"
Delta,positive,Thank you for the amazing service. @Delta #amazing
Virgin America,neutral,Arrived on time. Standard experience. @VirginAmerica
American,neutral,Just another flight. @American
United,positive,Great customer service at the gate. @United #amazing
Delta,neutral,Arrived on time. Standard experience. @Delta
United,positive,Very comfortable seats and plenty of legroom. @United #amazing
American,neutral,Average service. Could be better. @American
US Airways,negative,"Food was awful, could not eat anything. @USAirways #awful"
Virgin America,positive,Very comfortable seats and plenty of legroom. @VirginAmerica #amazing
American,negative,Terrible customer service on the phone. @American #awful
US Airways,neutral,"Food was okay, pretty standard for airline food. @USAirways"
Southwest,positive,Best flight ever. Will fly with you again. @Southwest #amazing
Delta,negative,The staff was incredibly rude and unhelpful. @Delta #awful
Delta,positive,Very comfortable seats and plenty of legroom. @Delta #amazing
Virgin America,positive,Very comfortable seats and plenty of legroom. @VirginAmerica #amazing
United,negative,"Food was awful, could not eat anything. @United #awful"
Virgin America,neutral,Got from A to B safely. @VirginAmerica
Virgin America,positive,Love the in-flight entertainment. @VirginAmerica #amazing
Delta,positive,Smooth landing and great pilot. @Delta #amazing
American,negative,Lost my luggage again... extremely disappointed. @American #awful
US Airways,neutral,"Flight was okay, nothing special. @USAirways"
Southwest,positive,Love the in-flight entertainment. @Southwest #amazing
American,negative,Worst experience of my life. Flight delayed by 4 hours. @American #awful
US Airways,positive,Great customer service at the gate. @USAirways #amazing
Southwest,neutral,Boarding was standard. @Southwest
US Airways,negative,Terrible customer service on the phone. @USAirways #awful
Southwest,neutral,Boarding was standard. @Southwest
US Airways,negative,Seats are too small and uncomfortable. @USAirways #awful
American,negative,Lost my luggage again... extremely disappointed. @American #awful
United,positive,Very comfortable seats and plenty of legroom. @United #amazing
American,neutral,Boarding was standard. @American
American,positive,I had a wonderful flight experience today! The crew was so polite. @American #amazing
Delta,neutral,Arrived on time. Standard experience. @Delta
Delta,neutral,Got from A to B safely. @Delta
Southwest,neutral,Just another flight. @Southwest
Southwest,neutral,Boarding was standard. @Southwest
United,negative,Why is my flight always delayed without any notice? @United #awful
American,neutral,"Flight was okay, nothing special. @American"
Southwest,positive,I had a wonderful flight experience today! The crew was so polite. @Southwest #amazing
American,positive,Great customer service at the gate. @American #amazing
Southwest,negative,The staff was incredibly rude and unhelpful. @Southwest #awful
Southwest,positive,Great customer service at the gate. @Southwest #amazing
United,positive,Smooth landing and great pilot. @United #amazing
United,negative,Seats are too small and uncomfortable. @United #awful
Virgin America,positive,I had a wonderful flight experience today! The crew was so polite. @VirginAmerica #amazing
US Airways,neutral,"Food was okay, pretty standard for airline food. @USAirways"
Delta,positive,I had a wonderful flight experience today! The crew was so polite. @Delta #amazing
United,positive,Smooth landing and great pilot. @United #amazing
American,neutral,Got from A to B safely. @American
Southwest,neutral,Just another flight. @Southwest
American,neutral,"Flight was okay, nothing special. @American"
Delta,neutral,Just another flight. @Delta
American,negative,The staff was incredibly rude and unhelpful. @American #awful
US Airways,neutral,Got from A to B safely. @USAirways
Virgin America,positive,Very comfortable seats and plenty of legroom. @VirginAmerica #amazing
United,positive,I had a wonderful flight experience today! The crew was so polite. @United #amazing
Southwest,neutral,Arrived on time. Standard experience. @Southwest
Southwest,neutral,Arrived on time. Standard experience. @Southwest
American,negative,Why is my flight always delayed without any notice? @American #awful
Delta,neutral,Just another flight. @Delta
Southwest,positive,The food was surprisingly good. @Southwest #amazing
US Airways,neutral,Arrived on time. Standard experience. @USAirways
Southwest,positive,Love the in-flight entertainment. @Southwest #amazing
Virgin America,negative,"Food was awful, could not eat anything. @VirginAmerica #awful"
US Airways,positive,I had a wonderful flight experience today! The crew was so polite. @USAirways #amazing
Southwest,neutral,Just another flight. @Southwest
Southwest,neutral,"Flight was okay, nothing special. @Southwest"
United,negative,Why is my flight always delayed without any notice? @United #awful
Southwest,neutral,Arrived on time. Standard experience. @Southwest
United,positive,Great customer service at the gate. @United #amazing
United,negative,"Horrible boarding process, chaotic and stressful. @United #awful"
American,neutral,Boarding was standard. @American
US Airways,negative,Terrible customer service on the phone. @USAirways #awful
Virgin America,negative,Terrible customer service on the phone. @VirginAmerica #awful
Virgin America,negative,The staff was incredibly rude and unhelpful. @VirginAmerica #awful
Virgin America,neutral,"Food was okay, pretty standard for airline food. @VirginAmerica"
American,neutral,Average service. Could be better. @American
Southwest,negative,Why is my flight always delayed without any notice? @Southwest #awful
Virgin America,positive,Great customer service at the gate. @VirginAmerica #amazing
American,neutral,"Flight was okay, nothing special. @American"
Delta,positive,Very comfortable seats and plenty of legroom. @Delta #amazing
US Airways,neutral,Arrived on time. Standard experience. @USAirways
US Airways,positive,I had a wonderful flight experience today! The crew was so polite. @USAirways #amazing
Virgin America,negative,Why is my flight always delayed without any notice? @VirginAmerica #awful
US Airways,neutral,Got from A to B safely. @USAirways
Virgin America,neutral,Just another flight. @VirginAmerica
US Airways,negative,Lost my luggage again... extremely disappointed. @USAirways #awful
United,neutral,Got from A to B safely. @United
Southwest,positive,I had a wonderful flight experience today! The crew was so polite. @Southwest #amazing
Southwest,positive,Great customer service at the gate. @Southwest #amazing
American,positive,Thank you for the amazing service. @American #amazing
Virgin America,neutral,Average service. Could be better. @VirginAmerica
Southwest,positive,Super fast and efficient boarding process. Loved it! @Southwest #amazing
American,negative,Seats are too small and uncomfortable. @American #awful
United,positive,Thank you for the amazing service. @United #amazing
United,neutral,"Food was okay, pretty standard for airline food. @United"
American,negative,The staff was incredibly rude and unhelpful. @American #awful
Delta,negative,The staff was incredibly rude and unhelpful. @Delta #awful
Delta,positive,The food was surprisingly good. @Delta #amazing
Virgin America,neutral,"Food was okay, pretty standard for airline food. @VirginAmerica"
Virgin America,negative,Seats are too small and uncomfortable. @VirginAmerica #awful
Delta,negative,"Food was awful, could not eat anything. @Delta #awful"
American,negative,Never flying with you again. Absolutely terrible. @American #awful
Delta,positive,Love the in-flight entertainment. @Delta #amazing
US Airways,negative,Terrible customer service on the phone. @USAirways #awful
American,positive,Super fast and efficient boarding process. Loved it! @American #amazing
Southwest,neutral,Boarding was standard. @Southwest
United,negative,Terrible customer service on the phone. @United #awful
Delta,neutral,"Flight was okay, nothing special. @Delta"
Southwest,neutral,"Food was okay, pretty standard for airline food. @Southwest"
United,positive,The food was surprisingly good. @United #amazing
United,negative,Terrible customer service on the phone. @United #awful
United,neutral,"Flight was okay, nothing special. @United"
Southwest,negative,"Food was awful, could not eat anything. @Southwest #awful"
Southwest,negative,"Horrible boarding process, chaotic and stressful. @Southwest #awful"
United,negative,Terrible customer service on the phone. @United #awful
American,positive,Very comfortable seats and plenty of legroom. @American #amazing
Southwest,neutral,"Flight was okay, nothing special. @Southwest"
American,positive,Love the in-flight entertainment. @American #amazing
United,negative,Seats are too small and uncomfortable. @United #awful
United,positive,Thank you for the amazing service. @United #amazing
Southwest,positive,The food was surprisingly good. @Southwest #amazing
Southwest,neutral,Got from A to B safely. @Southwest
United,neutral,Boarding was standard. @United
Virgin America,positive,Smooth landing and great pilot. @VirginAmerica #amazing
US Airways,positive,I had a wonderful flight experience today! The crew was so polite. @USAirways #amazing
American,positive,I had a wonderful flight experience today! The crew was so polite. @American #amazing
United,positive,I had a wonderful flight experience today! The crew was so polite. @United #amazing
Virgin America,neutral,"Food was okay, pretty standard for airline food. @VirginAmerica"
Delta,neutral,Boarding was standard. @Delta
United,positive,Thank you for the amazing service. @United #amazing
American,negative,"Food was awful, could not eat anything. @American #awful"
Delta,negative,Seats are too small and uncomfortable. @Delta #awful
American,positive,Great customer service at the gate. @American #amazing
American,negative,"Horrible boarding process, chaotic and stressful. @American #awful"
Virgin America,negative,Why is my flight always delayed without any notice? @VirginAmerica #awful
American,positive,Thank you for the amazing service. @American #amazing
US Airways,positive,Thank you for the amazing service. @USAirways #amazing
Southwest,neutral,Arrived on time. Standard experience. @Southwest
Delta,positive,Best flight ever. Will fly with you again. @Delta #amazing
Delta,neutral,Arrived on time. Standard experience. @Delta
US Airways,neutral,Just another flight. @USAirways
United,negative,Terrible customer service on the phone. @United #awful
US Airways,neutral,Average service. Could be better. @USAirways
US Airways,negative,"Horrible boarding process, chaotic and stressful. @USAirways #awful"
Southwest,negative,Never flying with you again. Absolutely terrible. @Southwest #awful
US Airways,positive,Smooth landing and great pilot. @USAirways #amazing
Delta,negative,Lost my luggage again... extremely disappointed. @Delta #awful
Southwest,neutral,"Flight was okay, nothing special. @Southwest"
US Airways,neutral,Arrived on time. Standard experience. @USAirways
United,neutral,Just another flight. @United
Virgin America,neutral,"Food was okay, pretty standard for airline food. @VirginAmerica"
Southwest,positive,Very comfortable seats and plenty of legroom. @Southwest #amazing
US Airways,positive,Great customer service at the gate. @USAirways #amazing
Southwest,positive,Very comfortable seats and plenty of legroom. @Southwest #amazing
United,positive,Great customer service at the gate. @United #amazing
United,positive,Super fast and efficient boarding process. Loved it! @United #amazing
Virgin America,positive,Super fast and efficient boarding process. Loved it! @VirginAmerica #amazing
Virgin America,positive,Love the in-flight entertainment. @VirginAmerica #amazing
Virgin America,neutral,Arrived on time. Standard experience. @VirginAmerica
Delta,positive,Very comfortable seats and plenty of legroom. @Delta #amazing
Southwest,negative,Never flying with you again. Absolutely terrible. @Southwest #awful
Virgin America,positive,Very comfortable seats and plenty of legroom. @VirginAmerica #amazing
Virgin America,positive,Best flight ever. Will fly with you again. @VirginAmerica #amazing
American,positive,I had a wonderful flight experience today! The crew was so polite. @American #amazing
Delta,neutral,"Food was okay, pretty standard for airline food. @Delta"
Southwest,neutral,Got from A to B safely. @Southwest
Southwest,negative,Worst experience of my life. Flight delayed by 4 hours. @Southwest #awful
Virgin America,positive,Super fast and efficient boarding process. Loved it! @VirginAmerica #amazing
American,neutral,Arrived on time. Standard experience. @American
US Airways,negative,Why is my flight always delayed without any notice? @USAirways #awful
American,negative,Worst experience of my life. Flight delayed by 4 hours. @American #awful
Virgin America,negative,Worst experience of my life. Flight delayed by 4 hours. @VirginAmerica #awful
Delta,neutral,Arrived on time. Standard experience. @Delta
US Airways,positive,Smooth landing and great pilot. @USAirways #amazing
Virgin America,negative,Never flying with you again. Absolutely terrible. @VirginAmerica #awful
Southwest,neutral,Just another flight. @Southwest
Delta,positive,Smooth landing and great pilot. @Delta #amazing
US Airways,positive,I had a wonderful flight experience today! The crew was so polite. @USAirways #amazing
Southwest,positive,Thank you for the amazing service. @Southwest #amazing
Delta,negative,Why is my flight always delayed without any notice? @Delta #awful
Virgin America,negative,Worst experience of my life. Flight delayed by 4 hours. @VirginAmerica #awful
Southwest,positive,Great customer service at the gate. @Southwest #amazing
Virgin America,positive,Love the in-flight entertainment. @VirginAmerica #amazing
US Airways,positive,Smooth landing and great pilot. @USAirways #amazing
Virgin America,neutral,Boarding was standard. @VirginAmerica
Southwest,negative,The staff was incredibly rude and unhelpful. @Southwest #awful
US Airways,negative,Terrible customer service on the phone. @USAirways #awful
Southwest,negative,Why is my flight always delayed without any notice? @Southwest #awful
Virgin America,neutral,Just another flight. @VirginAmerica
United,negative,Seats are too small and uncomfortable. @United #awful
United,neutral,"Food was okay, pretty standard for airline food. @United"
Delta,negative,Lost my luggage again... extremely disappointed. @Delta #awful
American,positive,Super fast and efficient boarding process. Loved it! @American #amazing
American,neutral,Got from A to B safely. @American
American,positive,Great customer service at the gate. @American #amazing
United,neutral,Got from A to B safely. @United
Delta,neutral,Just another flight. @Delta
Virgin America,positive,Thank you for the amazing service. @VirginAmerica #amazing
